arg1 | 7 | 16 165 169 170 171 172 175 
arg2 | 14 | 16 122 123 133 134 155 156 165 169 170 171 172 175 
argc | 1 | 20 
break | 1 | 174 
by | 1 | 173 
c | 31 | 12 29 30 31 35 39 40 42 44 45 47 48 49 52 54 60 63 65 101 109 111 112 114 131 137 138 140 148 
Calc | 5 | 16 123 134 156 165 
case | 17 | 76 77 78 79 80 81 82 91 92 93 94 95 169 170 171 172 175 
char | 14 | 12 13 14 15 16 20 29 35 63 67 72 87 101 165 
coef | 3 | 51 54 55 
continue | 1 | 127 
cOper | 6 | 14 15 72 74 87 89 
cOperator | 3 | 16 165 167 
cout | 3 | 45 111 173 
define | 1 | 8 
del | 1 | 126 
division | 1 | 173 
dmakeEmptyStack | 1 | 105 
DOT | 2 | 8 49 
double | 15 | 11 16 17 33 36 51 99 122 133 155 165 
dpop | 7 | 122 123 133 134 155 156 159 
dpush | 7 | 107 115 123 134 141 149 156 
DStack | 1 | 6 
DStackItem | 1 | 104 
else | 2 | 44 117 
endl | 2 | 45 111 
Error | 1 | 173 
fabs | 1 | 172 
getchar | 6 | 30 39 40 47 52 70 
getNum | 7 | 11 33 45 107 115 141 149 
getOper | 4 | 13 67 109 138 
h | 5 | 1 3 4 5 6 
if | 7 | 40 42 49 112 117 138 172 
include | 6 | 1 2 3 4 5 6 
int | 9 | 12 14 15 20 37 63 72 87 
isDigit | 4 | 12 47 52 63 
isOper | 3 | 14 72 109 
main | 1 | 20 
makeEmptyStack | 1 | 103 
NULL | 2 | 102 104 
num | 6 | 36 48 54 61 
ONP | 3 | 17 23 99 
pch | 1 | 1 
pDStack | 1 | 104 
Podaj | 1 | 22 
pop | 3 | 123 134 156 
pow | 1 | 175 
printf | 2 | 22 23 
prior | 3 | 15 87 131 
pStack | 4 | 102 119 131 153 
push | 3 | 114 137 140 
return | 17 | 25 61 65 70 82 84 92 94 95 97 159 169 170 171 172 175 177 
sign | 3 | 37 42 61 
skipSpaces | 4 | 10 27 38 69 
Stack | 1 | 4 
StackItem | 1 | 102 
stdin | 5 | 31 39 44 60 148 
switch | 3 | 74 89 167 
top | 2 | 119 131 
ungetc | 5 | 31 39 44 60 148 
void | 2 | 10 27 
wartosci | 1 | 111 
while | 7 | 30 47 52 109 119 131 153 
Wypisanie | 1 | 45 
wypisywanie | 1 | 111 
wyrazenie | 1 | 22 
z | 1 | 45 
